Date,Soil Moisture (10 cm) (%),Soil Moisture (20 cm) (%),Soil Moisture (30 cm) (%),Plant Age (years),Temperature (°C),Humidity (%),Rainfall (mm),Rain Status (0/1),Irrigation Status (0/1)
2020-11-01,47.533137773696524,44.85187954539065,46.920833079796736,2,26.21496425982233,63.71274346722672,8.483883576668013,1,0
2020-11-02,41.26194828683184,20.932524107474176,25.507008887873994,1,27.419466658832867,65.6629256906215,0.0,0,0
2020-11-03,43.278430395391155,40.35414252425325,38.124714271399114,5,30.148584772813905,70.869557913644,0.0,0,0
2020-11-04,27.119695828735736,29.52342778278484,29.49870081471263,4,25.964677619675687,65.32348300212715,10.890780439954867,1,0
2020-11-05,21.01003078895335,36.45176632401255,32.48802419300989,4,34.25170288008002,65.49504068497389,0.0,0,1
2020-11-06,34.53571930933885,20.34336676614127,35.03933310448349,3,34.95846813508743,65.87043346823887,0.0,0,0
2020-11-07,28.820848871616022,21.484893000426148,35.17372001028174,2,34.049301068012156,72.2298944854548,0.0,0,1
2020-11-08,41.29225066966568,47.0171471705489,38.646600890876925,9,27.81244667962866,74.27304974676426,8.353117217492034,1,0
2020-11-09,42.950974356424034,41.71114387844277,45.4353122738528,2,33.0178499497048,62.32453795554961,0.0,0,0
2020-11-10,30.21272333987355,46.240622111525155,24.140176130262148,10,34.51422549713677,62.52628788497788,0.0,0,0
2020-11-11,44.983199768028165,30.927631946431035,48.817767140435194,7,30.234402094979224,73.09218378234517,0.0,0,0
2020-11-12,25.364756202441647,39.68862889029248,24.955321551635464,1,34.5207272051251,77.41774531363532,0.0,0,1
2020-11-13,44.75857140143389,43.26770112567159,29.86181045142132,1,26.634037237946416,77.05029940434832,0.0,0,0
2020-11-14,44.86828547462355,32.11564395540487,26.45583904839027,2,25.747070843903842,68.65388004556617,11.526711087056333,1,0
2020-11-15,28.041575984556566,25.987910027060664,44.1577251480405,4,33.09035214088986,70.54290002111058,0.0,0,1
2020-11-16,25.564045250011077,33.77913804397484,29.851179055107117,4,32.98103116207084,64.71365744892401,0.0,0,1
2020-11-17,22.6602838922752,24.547830005398126,48.07117138063953,9,32.466321253819444,68.22885505129119,14.285363341924242,1,0
2020-11-18,27.63665483266547,28.482473453872593,21.836032114821936,10,32.495889815347844,67.68067350677293,11.14115261022824,1,0
2020-11-19,25.737372581521207,39.30529059628671,47.987000451053845,1,27.38527666658424,60.33267416436637,0.0,0,1
2020-11-20,22.793768470701263,25.939370771546994,36.839404517717014,9,29.659624656006937,67.76888060577994,0.0,0,1
2020-11-21,30.66064809520434,43.4416447651968,35.07221210194085,4,25.848302267602282,66.64866554645774,0.0,0,0
2020-11-22,49.13278878904833,34.09445387325964,37.1105840809245,9,27.77028305163474,74.737205251201,0.0,0,0
2020-11-23,46.484129530057714,37.55592438803866,29.29216559180216,7,32.84610155959075,69.7067842512206,0.0,0,0
2020-11-24,36.37592617994499,42.26695363195705,35.740625066422766,4,31.24264441480157,69.28409797453403,2.80655910913451,1,0
2020-11-25,42.078481186862845,30.976312787193077,44.86636459318552,8,29.660463682993708,68.69209398603267,0.0,0,0
2020-11-26,38.736176253708734,49.738071928678906,33.04841846951563,10,31.935710341044487,67.12956946565338,0.0,0,0
2020-11-27,42.75112542224463,42.051176500419544,46.49297161037246,5,31.02550307580698,74.76968855992635,0.0,0,0
2020-11-28,28.0928422487683,23.774737788426805,47.16851918749124,1,25.221848087691704,70.81914745914887,9.341927422442277,1,0
2020-11-29,27.923086174111674,47.8599708215755,35.23096581886615,3,32.15802026752086,68.45306049641364,0.0,0,1
2020-11-30,41.787834253913246,48.2891407243998,20.547552352310284,7,31.77892827430509,76.42090418243237,0.0,0,0
2020-12-01,38.75828423626824,26.370414876990523,27.759117002052207,6,33.398069817004554,63.4815588667429,0.0,0,0
2020-12-02,39.8378148993756,21.12448000110523,27.744106276415412,5,27.988885508469004,74.80783827325904,0.0,0,0
2020-12-03,42.73960071713475,33.3914390325968,27.364326975260184,3,26.13697990875049,77.0286369878396,0.0,0,0
2020-12-04,32.47766233078111,41.63444710444284,39.48841828025462,4,33.019112541376316,78.5631850756976,0.0,0,0
2020-12-05,34.83851863078049,28.121392792940497,38.20315806288721,6,26.37344237056673,79.8925497352769,13.018723090873578,1,0
2020-12-06,40.813005330278045,43.035720311318954,26.984725663878546,2,33.81126200114349,61.33365707894302,0.0,0,0
2020-12-07,41.41232971957852,41.034377448534684,47.64948158036417,2,29.35491877208783,66.98196173428225,0.0,0,0
2020-12-08,42.65653036183483,46.645257983071964,42.7890582252205,7,30.402564335399582,70.84052680882371,0.0,0,0
2020-12-09,29.93352893711306,45.582355198149784,24.439076589253965,2,27.4852007567592,76.6469911830659,0.0,0,1
2020-12-10,40.41562594425938,29.057240051460866,31.647602831109893,6,30.061470445396388,65.37190853655083,0.0,0,0
2020-12-11,47.12669415959195,42.65168359697487,25.223939151062744,6,29.461551594270333,74.73667193238923,0.0,0,0
2020-12-12,44.003624183177934,41.70881080039687,46.64387894482031,10,34.761307878613756,75.5958883984758,0.0,0,0
2020-12-13,36.46009101865587,40.03639844457419,27.30809026850467,5,30.267993532724965,76.65974013657207,6.802185200088143,1,0
2020-12-14,20.86721778505369,26.84131702894255,46.921763585589815,1,31.666185561613375,64.44532383921788,0.0,0,1
2020-12-15,21.021321055308203,37.531365861535164,38.65187093075181,8,29.43265029646808,74.45102111482068,0.0,0,1
2020-12-16,43.53198747386178,35.52859093637662,43.986053559451655,9,32.00571077776965,69.1943409093303,0.36934248440496675,1,0
2020-12-17,32.600579360006975,49.58809646976407,23.486738894708218,2,32.54241744771176,72.70184952842467,0.0,0,0
2020-12-18,44.03170514764447,33.37280212985477,37.252584545656276,7,27.286035424532923,73.48438790959318,0.0,0,0
2020-12-19,31.19639857558835,46.499184876239006,49.643254123917345,2,29.5911138412391,65.79506003433262,0.0,0,0
2020-12-20,25.557662610249793,32.07637082405245,36.301594746513246,9,34.160218687952586,73.38487590050566,0.0,0,1
2020-12-21,44.416786196789545,41.32122570814808,22.16613898603401,5,30.33288060370529,69.10449045192216,0.0,0,0
2020-12-22,29.546692590817024,35.94703506176462,47.57335990906297,10,29.96622698181187,68.36729075522828,0.0,0,1
2020-12-23,42.58438421069048,28.184069333164977,22.386030196458933,6,33.230033617861885,71.07829654712918,9.301671610822964,1,0
