Date,Soil Moisture (10 cm) (%),Soil Moisture (20 cm) (%),Soil Moisture (30 cm) (%),Plant Age (years),Temperature (°C),Humidity (%),Rainfall (mm),Rain Status (0/1),Irrigation Status (0/1)
2018-11-01,33.43240897729046,35.721910549098965,28.292393563242836,10,29.858857421043343,74.43610015327462,4.476383743101139,1,0
2022-12-10,24.058523637539977,43.40748998584729,60.43705389914478,10,29.858857421043343,74.43610015327462,0.0,0,0
2018-11-02,34.613190372734586,38.656565463746205,38.20985135738689,10,28.504492271213593,62.57352026436544,0.0,0,0
2022-12-11,49.417264538948935,56.05693921290324,65.09772792930434,10,28.504492271213593,62.57352026436544,13.157567667170927,1,0
2018-11-03,25.060624617922986,23.25162523293384,28.757720759919167,5,34.871713854060005,70.04533084771055,0.0,0,1
2022-12-12,18.93584361642313,32.614575031137555,48.39943679901577,5,34.871713854060005,70.04533084771055,0.0,0,1
2018-11-04,46.10642701546758,44.81723760425788,51.13843520369913,7,32.63451669430151,61.93206880421049,12.859745812894078,1,0
2022-12-13,38.4936533251075,38.24835450853629,42.75983894216483,7,32.63451669430151,61.93206880421049,9.685236829210115,1,0
2018-11-05,21.740906301599303,21.687425064664932,30.64725167546013,8,29.774227461288604,79.48806361880986,0.0,0,1
2022-12-14,33.44965831820478,65.90028268334889,47.69341350322427,8,29.774227461288604,79.48806361880986,8.623835954309818,1,0
2018-11-06,15.70325587643237,48.221151546419115,33.908219961155744,6,31.24586698426812,75.88907268282513,11.021280158230537,1,0
2022-12-15,60.016219464048426,38.71026586238532,56.04900757660341,6,31.24586698426812,75.88907268282513,3.7875292239375877,1,0
2018-11-07,42.6663253564208,23.972146316629686,23.130237833886618,9,33.60996039821937,69.67719674557713,10.985643178249028,1,0
2022-12-16,31.865082701752083,47.26987176619265,46.8765788588243,9,33.60996039821937,69.67719674557713,0.0,0,0
2018-11-08,43.69631277541625,44.70292844097676,23.843987854812568,8,26.22599967412795,74.90999868205907,0.0,0,0
